hw1;hw2;tw;bf1;tf1;bf2;tf2;psi;L;y_Mcr_u_eq
700;700;3.94;350;11.24;350;20.26;0;12600;1.518074704
800;533;3.84;600;45.79;600;14.84;0.25;27200;2.422708977
250;1000;5.62;500;17.89;500;5.62;0.5;40000;1.949283377
500;250;3.4;375;16.18;250;14.47;0.25;16000;2.404149792
600;600;2.23;600;32.53;600;41.37;0.75;6000;1.011637119
300;300;1.26;225;13.86;150;7.03;-0.75;4800;2.885804037
400;200;7.2;400;27.58;100;7.2;0.25;10400;6.897265966
143;500;2.4;125;7.24;125;6.32;0.5;10000;1.392956646
600;171;6.97;300;21.79;600;14.84;0.25;4800;0.790474639
700;700;12.6;175;12.6;175;12.6;-0.5;8400;2.559189814
133;400;1.33;200;13.05;400;11.37;1;11200;0.733921303
150;600;10.8;150;11.45;600;19.26;-0.25;13200;2.553280812
250;1000;8.57;750;40.66;500;30.79;0;20000;2.404714245
600;400;24;300;24;450;24.39;1;8400;0.712290101
400;800;3.84;200;8.63;200;3.84;-0.25;30400;2.7109327
400;160;1.33;400;32;200;15.26;0.25;8800;3.87689339
900;900;36;225;36;900;36;-0.75;23400;1.407429922
600;900;6.11;675;21.67;675;16.7;-1;21600;2.72992728
500;500;2.4;375;7.89;250;20;-0.5;16000;2.691394628
75;300;1.11;300;16.26;150;1.5;1;6600;3.362035098
500;250;9;125;9;500;32.63;-0.5;1000;0.214539552
200;500;1.67;250;10.79;125;6.32;0.25;18000;3.156676717
300;900;6.11;450;7.82;675;41.57;0.5;36000;2.049694872
300;100;12;150;12;225;12;-0.75;10800;2.40802595
300;86;1.69;225;11.37;225;10.54;-0.25;5400;2.680863886
300;300;2.57;300;15.16;225;8.88;0.5;2400;2.246073061
700;700;28;700;50.84;525;30.39;1;23800;1.502629706
800;800;5.43;800;40.42;800;28.63;1;9600;1.145926373
500;167;2.81;375;20.33;250;2.81;-0.25;13000;7.153716439
150;300;1.44;300;18.47;300;6.32;0.5;7800;1.948051334
500;125;2.81;125;10;125;5.39;0;1000;2.345338353
300;200;3.48;225;8.05;75;4.34;0.75;2400;4.05037858
600;200;2.23;450;19.42;450;12.79;-1;10800;2.375437626
1000;500;4.8;750;18.55;500;6.84;-0.5;24000;4.369035292
400;200;1.92;100;5.79;100;6.53;0.25;4000;1.585906937
400;133;1.33;300;16.26;100;1.74;-0.5;13600;13.98488252
300;100;1.44;225;13.03;150;8.13;0.5;9600;2.270844517
100;400;1.92;200;5.68;200;4.21;0.75;7200;1.23424627
500;333;9;500;17.89;125;9;0.75;16000;3.990039306
800;267;14.4;200;14.4;600;14.4;0.5;3200;0.255695794
250;500;20;500;20;125;20;-1;20000;2.279794441
700;350;8.13;525;36.2;700;9.58;0;11200;2.159454924
900;300;3.77;900;28.89;900;48.79;0.75;34200;1.152903809
1000;1000;4.8;1000;68.95;1000;80;0.5;22000;1.291953195
333;1000;5.62;250;5.62;1000;68.95;0.5;40000;4.706963087
800;200;3.35;400;27.58;400;12.84;1;30400;1.355030082
400;133;1.92;200;16;400;18.74;1;16000;0.963128709
1000;667;8.57;750;40.66;750;57.24;-0.75;16000;2.771164254
350;700;8.13;700;40.53;350;26.71;0.75;5600;2.491126373
